FIPS,poverty_rate,median_age,COPD_CrudePrev,COPD_AdjPrev,CSMOKING_CrudePrev,ozone_mean,pm25_mean
47187,0.04510010620615048,40.3,5.2,4.5,10.4,0.04377975,NA
47189,0.07605886978991125,39.9,6.8,6,14.4,0.0418445,NA
48027,0.1462687700514456,32.1,5.9,6,13.3,0.045389875,7.012431333333334
48029,0.1469821127985054,34.6,5.1,5,12.2,0.04402816666666667,8.494287018867924
48039,0.07342270223331795,36.5,5.1,4.8,11.6,0.038324375,7.896667
48043,0.08409165661659905,42.2,5.5,4.5,9.7,0.0465485,5.0424237777777785
48061,0.24421849035581816,32.4,6.2,5.9,13,0.032852,11.212389277777778
48085,0.06302209373460449,37.3,4.1,4,9.3,0.051166500000000004,NA
48113,0.13986837334966393,34,5.6,5.5,12.5,0.04127533333333333,7.549005970588236
48121,0.07030818264769763,36.8,4.3,4.2,9.8,0.048978375,7.839665222222222
48139,0.08119340216819909,36.3,5.6,5.3,12.6,0.0433845,NA
48141,0.1888614912500909,33.3,4.9,4.8,12.1,0.04435354166666667,13.320170295081969
48167,0.11154669486498336,38.5,6,5.3,12.3,0.041855,7.319506111111111
48183,0.1702234932389989,35.9,7.7,6.9,15.3,0.04347325,NA
48201,0.15918066709753084,34.4,5.5,5.5,12.7,0.03944854411764706,9.761956807142857
48203,0.17381285123844073,38.9,7.9,6.9,15.2,0.0382855,8.309372
48215,0.27191434367341977,30.3,5.9,6,13.3,0.03429325,9.908821444444444
48221,0.08193124782979261,46.3,7.4,5.5,12,0.04625925,NA
48231,0.12413210641578364,37.2,7.4,6.7,15.2,0.0423945,NA
48245,0.18762366276535095,37.1,7.8,7,16.1,0.03684291666666667,8.265603962962963
48251,0.10733459336919589,37.2,6.6,6.2,14.4,0.045518249999999996,NA
48257,0.09698094219762249,34.2,5.8,5.9,14,0.0437535,7.6974046666666665
48309,0.17111830435278524,34,6.8,6.5,13.5,0.044805250000000005,NA
48339,0.09286515386624468,37.2,5.6,5.1,11.8,0.043205,10.796460555555555
48349,0.1682831831373148,37.4,8.6,7.6,16.6,0.0468395,7.761740333333334
48355,0.17665347572219697,36.8,6,5.5,13.1,0.03570425,9.451116742857142
48361,0.12676240519270549,37.9,7.7,6.9,15.7,0.035686249999999996,8.615046555555555
48367,0.07773552478853911,39.3,6.4,5.5,12.9,0.04641525,NA
48373,0.18052983164422617,43.9,9.8,8,18.9,0.03809025,NA
48381,0.0951230946258861,36.8,5.8,5.4,12,0.048550249999999996,NA
48397,0.04301399613899614,37.6,4.5,4.2,10,0.03885075,NA
48423,0.12205992865225315,37.4,7,6.2,13.6,0.04264925,NA
48439,0.10922474019902237,35.1,5.4,5.3,12.7,0.0479577,9.182171722222222
48453,0.10994906139237395,35.5,4,4.2,9.5,0.0446855,8.399712333333333
48469,0.15966743401202424,36.6,6.9,6.1,13.9,0.03891625,NA
48479,0.21048734416320364,29.8,5,5.2,12.7,0.040649,9.809412111111111
49003,0.08620195307888212,32.9,5.6,5.4,9.8,0.046916624999999997,5.058323411764706
49005,0.13073984387925458,25.9,4.6,5.3,8.1,0.04626675,5.5999744705882355
49007,0.16787631735931596,38.8,7.7,6.6,11.9,0.04802725,4.169446
49011,0.059759882773087296,32.3,4.2,4.3,7.4,0.047226000000000004,6.049510764705882
49013,0.132989585460486,33.8,7,6.5,11.8,0.04820908333333333,5.99226973076923
49019,0.16991150442477876,39.6,6.6,5.6,10.2,0.04523225,7.288392333333333
49021,0.13638124105413826,29.9,5.8,5.9,9.9,0.047128,6.028512777777777
49035,0.0835852438747877,33.8,4.4,4.5,8.2,0.048186068181818184,6.671689333333333
49037,0.1836734693877551,34.6,8.9,8,15.7,0.04927975,NA
49045,0.0469196622627343,32,4.6,4.8,9.5,0.04599625,5.0857284705882355
49047,0.11107709435012525,33,6.5,6.3,12.6,0.04708314285714286,4.192656588235294
49049,0.087221609239515,25.5,3.6,4.4,6.4,0.0453185,6.361749047619048
49051,0.05147182979681432,36.1,4.5,4.1,7.3,0.04816725,4.686540117647058
49053,0.09880833102389733,39,6.2,5.1,8,0.046798875000000004,4.872104111111112
49057,0.074977770008892,33.5,4.9,4.9,9.1,0.04678825,5.197261235294118
50003,0.11351886481135189,46.6,7.3,5.6,11.9,0.04092925,5.155817222222222
50007,0.10439691700300505,37,4.9,4.6,8.5,0.04072025,4.656231764705883
50021,0.12026748796134017,47.7,7.9,6.1,12.9,0.03922825,6.677984764705882
51003,0.06770709876835848,39.8,5.2,4.4,9,0.041488750000000005,6.621031666666667
51013,0.07123943637754795,35.5,3.2,3.4,7,0.04455725,6.8440665
51033,0.11556260743091366,39.4,7.4,6.4,15.2,0.039115,NA
51036,0.11419984973703982,52.6,9.5,6.9,16.6,0.0396215,5.599229222222222
51041,0.06849741272024629,38.9,5.6,4.9,11.5,0.04071275,6.719305444444444
51059,0.059358941781015306,38.9,4.1,3.7,8.1,0.04369225,6.578679259259259
51061,0.06148154193530836,40.8,6,5,11.5,0.037763000000000005,NA
51069,0.07081957895197079,40.6,6.8,5.7,13,0.0404155,7.33951272
51071,0.0891155223699387,45.8,8.9,7.1,16,0.043047249999999995,NA
51085,0.0517627487363235,42.3,6.1,5,11.8,0.04051175,NA
51087,0.08437701216139008,39.4,5.7,5,11.4,0.03888075,6.472702142857143
51107,0.03959177236790386,37.8,3.7,3.6,8.4,0.04370525,6.776803222222222
51113,0.0704707768546859,46.2,8.2,6.3,14.1,0.045637,5.403657888888889
51147,0.21632846801946126,32.4,7.7,7.8,14.6,0.038027,NA
51153,0.06125055124660108,36,4.7,4.5,11.1,0.042222499999999996,NA
51161,0.07264830508474576,43.7,6.8,5.4,11.9,0.04150925,6.1065774444444445
51163,0.08015370705244124,49.7,8.8,6.5,13.8,0.039033,NA
51165,0.09564038633777928,40.3,7.7,6.4,13.9,0.0412625,6.736441666666667
51179,0.05068333131195782,36.3,4.8,4.6,11,0.042036000000000004,NA
51197,0.15615249435139691,45.9,9.6,7.6,16.7,0.04281875,NA
51650,0.1303733647914522,36.5,6.9,6.3,14.1,0.0423935,6.155913555555556
51800,0.09874660538959683,38.7,6.3,5.6,13.2,0.040099875,NA
53005,0.11057445080426957,36.2,5.6,5.1,10.4,0.04532875,NA
53009,0.1077628562070095,51.8,7.8,5.4,11.8,0.03459575,NA
53011,0.08402251445651594,38.9,5.5,4.9,11,0.038504250000000004,5.747240888888888
53013,0.09026548672566372,52.1,7.6,5.5,11.9,0.04360525,NA
53033,0.08376461817010372,37.3,3.4,3.3,7.2,0.0366526875,5.549481728571428
53053,0.08869018822932914,36.8,5.2,4.9,11.6,0.0406575,6.174959777777778
53057,0.11575395190072234,41.9,6.5,5.2,11.4,0.02819475,4.5199227777777775
53063,0.12248615440315436,38.2,6,5.4,11.7,0.045517625,6.939034777777778
53067,0.09666860286329312,39.8,5.3,4.6,10.2,0.036628,4.160468333333333
53073,0.1270469774608521,38.2,5.4,4.9,10.8,0.034424250000000003,4.981477555555555
54003,0.11374700750333393,38.7,8.4,7.5,17.4,0.04107475,7.292241
54011,0.1982384305608675,39.3,9.8,8.8,17.8,0.042950749999999996,7.01334312
54025,0.20705963417689802,46.5,12.4,9.6,20.8,0.04201575,NA
54029,0.14955959653359852,46.8,10.8,8.4,18.6,0.04511425,7.2068088823529415
54039,0.16116521490789662,43.7,9.8,8,18.9,0.033925250000000004,6.94792444
54061,0.20505601150182712,32.5,6.7,7.3,13.9,0.046485,6.650427
54069,0.15668481548699334,42.8,9.4,7.7,16.3,0.042327500000000004,7.682353
54093,0.1317484662576687,51.2,11.3,8.3,18.5,0.042437749999999996,NA
54107,0.1479488577834333,43.9,10.8,8.7,18.9,0.0422625,7.6042974999999995
55003,0.16379086663207057,43.1,8.6,6.9,17.3,0.036686750000000004,7.736910333333333
55009,0.09804138036050783,37.9,6.1,5.4,13.4,0.0412755,8.473706333333332
55021,0.07812142844583546,43.3,6.9,5.6,14.4,0.0445455,NA
55025,0.10484443194294477,35.6,4.4,4.3,9.8,0.043652750000000004,7.648517346153846
55027,0.07851764008301215,42.9,7,5.8,14.9,0.04006925,6.999835647058823
55029,0.08661259637528787,54.1,7.5,5.1,11.9,0.042523,NA
55035,0.1154496000625055,35.8,5.8,5.4,12.6,0.038722,8.604453555555555
55039,0.0873565502508818,41.9,6.9,5.7,14.8,0.0420315,NA
55041,0.15020417172497516,49.1,10.2,7.6,19.9,0.03786025,8.594289444444446
55055,0.08125588242392065,41.3,6.4,5.4,13.4,0.04381325,NA
55059,0.10508542518235983,39.2,6.5,5.7,14.5,0.047112,7.6190795555555555
55061,0.07615651409310732,44.4,7.3,5.7,14.7,0.043409249999999996,NA
55063,0.12424415189523513,37.1,6,5.5,12.6,0.04138675,NA
55071,0.09757131458208658,45,7.7,5.9,14.9,0.040769,NA
55073,0.08914418938832966,41.2,6.7,5.5,14.3,0.04181825,7.716034666666666
55079,0.17465977939008884,35.4,6.7,6.3,14.6,0.043105083333333336,8.27879073076923
55087,0.06411237196650942,38.7,5.9,5.2,12.7,0.042516250000000005,8.392673444444444
55089,0.045522363316866155,44,5.4,4.2,10.3,0.044811500000000004,6.857693111111111
55101,0.10794490312236463,40.5,6.7,5.6,14.7,0.047302750000000005,NA
55105,0.09970630786138725,40.1,6.8,5.8,14.7,0.0455,NA
55111,0.08759910707412824,41.3,7,5.7,14.9,0.041323,7.305651444444444
55117,0.08081468882201578,41.8,6.5,5.3,13.7,0.044854875,NA
55119,0.09289728142560624,44.1,8.4,6.5,16.3,0.040592,NA
55125,0.1093182211455269,55.5,8.3,5.6,14.2,0.03995825,NA
55127,0.09717040861052939,41.1,6.4,5.4,12.8,0.04648125,NA
55133,0.05206134275548576,43.3,5.2,4.1,10.3,0.045059749999999996,7.909516529411764
56001,0.2095270772573912,28.7,5.1,5.9,10.5,0.0534885,2.655352117647059
56005,0.09105262019594697,35.8,6.6,6.1,15.3,0.048652625,2.5759338888888887
56009,0.11325885638688814,41.3,7.8,6.5,15.4,0.04585175,NA
56013,0.12388552416105637,39.4,8.3,6.8,16.4,0.049250666666666665,2.845893466666667
56019,0.1060695344725987,47,8.9,6.6,14.7,0.046579499999999996,NA
56021,0.09875580842081819,38.2,6.6,5.9,13.3,0.04944825,3.228548536585366
56025,0.09723108332270002,38.2,7.1,6.3,14.9,0.0473395,3.0342439999999997
56033,0.09802134860713356,42.9,7.1,5.6,12.9,0.0354495,5.489428333333334
56035,0.08358106563000228,42.8,7,5.4,12.7,0.04984171875,4.010270777777778
56037,0.13439320388349515,37.4,7,6.4,16.1,0.048593083333333335,3.9392329444444445
56039,0.07028190230256079,40.1,4.5,4,9.2,0.0475365,2.5855986842105265
