FIPS,reason
16081,no ozone monitor
16083,no ozone monitor
16085,no ozone monitor
16087,no ozone monitor
17003,no ozone monitor
17005,no ozone monitor
17007,no ozone monitor
17009,no ozone monitor
17011,no ozone monitor
17013,no ozone monitor
17015,no ozone monitor
17017,no ozone monitor
17021,no ozone monitor
17025,no ozone monitor
17027,no ozone monitor
17029,no ozone monitor
17033,no ozone monitor
17035,no ozone monitor
17037,no ozone monitor
17039,no ozone monitor
17041,no ozone monitor
17045,no ozone monitor
17047,no ozone monitor
17051,no ozone monitor
17053,no ozone monitor
17055,no ozone monitor
17057,no ozone monitor
17059,no ozone monitor
17061,no ozone monitor
17063,no ozone monitor
17067,no ozone monitor
17069,no ozone monitor
17071,no ozone monitor
17073,no ozone monitor
17075,no ozone monitor
17077,no ozone monitor
17079,no ozone monitor
17081,no ozone monitor
17087,no ozone monitor
17091,no ozone monitor
17093,no ozone monitor
17095,no ozone monitor
17099,no ozone monitor
17101,no ozone monitor
17103,no ozone monitor
17105,no ozone monitor
17107,no ozone monitor
17109,no ozone monitor
17121,no ozone monitor
17123,no ozone monitor
17125,no ozone monitor
17127,no ozone monitor
17129,no ozone monitor
17131,no ozone monitor
17133,no ozone monitor
17135,no ozone monitor
17137,no ozone monitor
17139,no ozone monitor
17141,no ozone monitor
17145,no ozone monitor
17147,no ozone monitor
17149,no ozone monitor
17151,no ozone monitor
17153,no ozone monitor
17155,no ozone monitor
17159,no ozone monitor
17165,no ozone monitor
17169,no ozone monitor
17171,no ozone monitor
17173,no ozone monitor
17175,no ozone monitor
17177,no ozone monitor
17179,no ozone monitor
17181,no ozone monitor
17183,no ozone monitor
17185,no ozone monitor
17187,no ozone monitor
17189,no ozone monitor
17191,no ozone monitor
17193,no ozone monitor
17195,no ozone monitor
17199,no ozone monitor
17203,no ozone monitor
18001,no ozone monitor
18007,no ozone monitor
18009,no ozone monitor
18017,no ozone monitor
18021,no ozone monitor
18023,no ozone monitor
18025,no ozone monitor
18027,no ozone monitor
18029,no ozone monitor
18031,no ozone monitor
18033,no ozone monitor
18037,no ozone monitor
18041,no ozone monitor
18045,no ozone monitor
18047,no ozone monitor
18049,no ozone monitor
18051,no ozone monitor
18053,no ozone monitor
18059,no ozone monitor
18061,no ozone monitor
18065,no ozone monitor
18069,no ozone monitor
18071,no ozone monitor
18073,no ozone monitor
18075,no ozone monitor
18077,no ozone monitor
18079,no ozone monitor
18081,no ozone monitor
18085,no ozone monitor
18087,no ozone monitor
18093,no ozone monitor
18099,no ozone monitor
18101,no ozone monitor
18103,no ozone monitor
18105,no ozone monitor
18107,no ozone monitor
18109,no ozone monitor
18111,no ozone monitor
18113,no ozone monitor
18115,no ozone monitor
18117,no ozone monitor
18119,no ozone monitor
18121,no ozone monitor
18125,no ozone monitor
18131,no ozone monitor
18133,no ozone monitor
18135,no ozone monitor
18137,no ozone monitor
18139,no ozone monitor
18143,no ozone monitor
18147,no ozone monitor
18149,no ozone monitor
18151,no ozone monitor
18153,no ozone monitor
18155,no ozone monitor
18157,no ozone monitor
18159,no ozone monitor
18161,no ozone monitor
18165,no ozone monitor
18171,no ozone monitor
18175,no ozone monitor
18177,no ozone monitor
18179,no ozone monitor
18181,no ozone monitor
18183,no ozone monitor
19001,no ozone monitor
19003,no ozone monitor
19005,no ozone monitor
19007,no ozone monitor
19009,no ozone monitor
19011,no ozone monitor
19013,no ozone monitor
19015,no ozone monitor
19019,no ozone monitor
19021,no ozone monitor
19023,no ozone monitor
19025,no ozone monitor
19027,no ozone monitor
19029,no ozone monitor
19031,no ozone monitor
19033,no ozone monitor
19035,no ozone monitor
19037,no ozone monitor
19039,no ozone monitor
19041,no ozone monitor
19043,no ozone monitor
19047,no ozone monitor
19049,no ozone monitor
19051,no ozone monitor
19053,no ozone monitor
19055,no ozone monitor
19057,no ozone monitor
19059,no ozone monitor
19061,no ozone monitor
19063,no ozone monitor
19065,no ozone monitor
19067,no ozone monitor
19069,no ozone monitor
19071,no ozone monitor
19073,no ozone monitor
19075,no ozone monitor
19077,no ozone monitor
19079,no ozone monitor
19081,no ozone monitor
19083,no ozone monitor
19087,no ozone monitor
19089,no ozone monitor
19091,no ozone monitor
19093,no ozone monitor
19095,no ozone monitor
19097,no ozone monitor
19099,no ozone monitor
19101,no ozone monitor
19103,no ozone monitor
19105,no ozone monitor
19107,no ozone monitor
19109,no ozone monitor
19111,no ozone monitor
19115,no ozone monitor
19117,no ozone monitor
19119,no ozone monitor
19121,no ozone monitor
19123,no ozone monitor
19125,no ozone monitor
19127,no ozone monitor
19129,no ozone monitor
19131,no ozone monitor
19133,no ozone monitor
19135,no ozone monitor
19139,no ozone monitor
19141,no ozone monitor
19143,no ozone monitor
19145,no ozone monitor
19149,no ozone monitor
19151,no ozone monitor
19155,no ozone monitor
19157,no ozone monitor
19159,no ozone monitor
19161,no ozone monitor
19165,no ozone monitor
19167,no ozone monitor
19169,no ozone monitor
19171,no ozone monitor
19173,no ozone monitor
19175,no ozone monitor
19179,no ozone monitor
19181,no ozone monitor
19183,no ozone monitor
19185,no ozone monitor
19187,no ozone monitor
19189,no ozone monitor
19191,no ozone monitor
19195,no ozone monitor
19197,no ozone monitor
20001,no ozone monitor
20003,no ozone monitor
20005,no ozone monitor
20007,no ozone monitor
20009,no ozone monitor
